pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
Kepler-1167 b,0.15255598,0.01120000,1.00393373900,4971.00
Kepler-1740 b,0.29647782,0.03470000,8.17240047500,5705.00
Kepler-1581 b,0.07137122,0.00137000,6.28385491000,6022.00
Kepler-644 b,0.28102418,0.03170000,3.17391710300,6747.00
Kepler-1752 b,0.40508631,0.05900000,56.35850143000,5446.00
Kepler-280 c,0.17900000,0.01480000,4.80709100000,5744.00
Kepler-1208 b,0.20697654,0.01890000,11.08507637000,5001.00
Kepler-263 c,0.22000000,0.02100000,47.33277300000,5265.00
Kepler-1101 b,0.22035864,0.02100000,81.31510590000,5614.00
HD 168746 b,0.99300000,0.27000000,6.40400000000,5570.00
K2-19 b,0.62449925,0.10194180,7.92220000000,5322.00
Kepler-560 b,0.15344812,0.01130000,18.47764449000,3556.00
Kepler-150 d,0.24900000,0.02580000,12.56093000000,5560.00
Kepler-498 b,0.27031849,0.02970000,9.61375356000,5744.00
Kepler-817 b,0.80560264,0.18900000,3.99010622900,5861.00
Kepler-937 b,0.33187617,0.04200000,67.66882700000,6095.00
K2-10 b,0.33660509,0.07928807,19.30553000000,5533.00
Kepler-571 b,0.23552502,0.02350000,4.79859938800,5527.00
Kepler-1458 b,0.24623071,0.02530000,47.98727640000,5653.00
K2-335 b,0.19716333,0.01740000,12.28321100000,6222.00
Kepler-1600 c,0.17325974,0.01390000,7.29804992700,5119.00
Kepler-221 d,0.24400000,0.01135833,10.04156000000,5243.00
Kepler-626 b,0.20430012,0.01840000,14.48585199000,5813.00
Kepler-1549 b,0.22928004,0.02240000,214.88654500000,5324.00
K2-62 c,0.17753621,0.01450000,16.19697000000,4455.00
Kepler-1149 b,0.12846820,0.00839000,3.73089898000,5833.00
Kepler-1288 b,0.09991971,0.00459000,2.76122421000,6132.00
Kepler-128 b,0.12677335,0.01192467,15.00000000000,6072.00
Kepler-1245 b,0.12846820,0.00839000,4.35409304000,5306.00
Kepler-1068 b,0.32384691,0.04030000,16.92344113000,5806.00
Kepler-311 c,0.12800000,0.00829000,19.73828600000,5905.00
Kepler-150 e,0.27800000,0.03120000,30.82655700000,5560.00
Kepler-272 c,0.16000000,0.30800000,6.05734200000,5297.00
Kepler-152 c,0.21300000,0.01980000,88.25505500000,5088.00
Kepler-1506 b,0.11776251,0.00724000,14.03291540000,5676.00
CoRoT-3 b,1.01000000,21.66000000,4.25680000000,6740.00
HD 205739 b,1.21000000,1.37000000,279.80000000000,6176.00
NGTS-10 b,1.20500000,2.16200000,0.76689440000,4600.00
HD 224693 b,1.25000000,0.70000000,26.69040000000,5894.00
HD 156279 b,1.12000000,9.43200000,133.40355000000,5453.00
HD 12661 b,1.18000000,2.43000000,262.70862000000,5645.00
2MASS J12073346-3932539 b,1.15000000,5.00000000,,2825.00
HD 16417 b,0.44600000,0.06960000,17.24000000000,5841.00
HD 19994 b,1.21000000,1.37000000,466.20000000000,6188.00
HD 156279 c,1.11000000,9.75000000,4818.25358000000,5453.00
GJ 179 b,1.23000000,0.95000000,2288.00000000000,3370.00
GQ Lup b,3.00000000,20.00000000,,4360.00
GJ 832 b,1.23000000,0.99000000,3853.00000000000,3472.00
HD 37605 b,1.18000000,2.69000000,55.01292000000,5329.00
HD 33283 b,1.12000000,0.32900000,18.19910000000,5935.00
HD 9446 b,1.25000000,0.70000000,30.05200000000,5793.00
HD 134987 c,1.24000000,0.82000000,5000.00000000000,5585.00
HD 110014 b,1.11000000,11.09000000,835.47700000000,4445.00
